name,rank,model,chain_i,chain_j,iLIS,iLIA,iLISA,ipSAE,actifpTM,LIS,cLIS,LIA,cLIA,ipTM,pLDDT_i,pLDDT_j,pTM,LIR_i,LIR_j,cLIR_i,cLIR_j,LIpLDDT_i,LIpLDDT_j,cLIpLDDT_i,cLIpLDDT_j,len_i,len_j,LIR_indices_i,LIR_indices_j,cLIR_indices_i,cLIR_indices_j
aPKC___Ada2a,1,4,A,B,0.0775,202.5,15.7,0.0127,0.6483,0.0747,0.0804,976.0,42.0,0.2600,42.8,51.7,0.340,195,96,13,18,85.4,68.5,64.8,59.8,958,562,"[149-160,616,618,620-621,624,626,630-634,640-650,663-670,674,676-678,680-681,684-697,712,714-749,752-764,771-792,794-813,815,830,832-843,847,849-867,878-879,881,883-884,889,893]","[244,249-252,256,259-263,265,298-336,338,342-356,358-379,381-382,467-471]","[151,154-155,157-159,626,740,758,761,777-779]","[260,313-314,317-318,323-324,326,329,347,350-351,353-354,467-470]"
aPKC___Ada2a,2,1,A,B,0.0000,0.0,0.0,0.0000,0.2764,0.0000,0.0000,0.0,0.0,0.2000,42.5,53.3,0.350,0,0,0,0,,,,,958,562,,,,
aPKC___Ada2a,3,5,A,B,0.0000,0.0,0.0,0.0000,0.2406,0.0000,0.0000,0.0,0.0,0.1900,43.8,54.9,0.350,0,0,0,0,,,,,958,562,,,,
aPKC___Ada2a,4,2,A,B,0.0000,0.0,0.0,0.0000,0.3756,0.0000,0.0000,0.0,0.0,0.1900,44.6,52.8,0.350,0,0,0,0,,,,,958,562,,,,
aPKC___Ada2a,5,3,A,B,0.0000,0.0,0.0,0.0000,0.2461,0.0000,0.0000,0.0,0.0,0.1700,43.2,55.2,0.350,0,0,0,0,,,,,958,562,,,,
aPKC___Ada2b,1,5,A,B,0.1106,480.6,53.1,0.0164,0.6938,0.0880,0.1389,12158.0,19.0,0.3500,45.1,49.4,0.410,305,72,8,8,86.5,73.1,67.1,64.7,958,555,"[520-522,612-672,674-697,699-708,712-817,821-869,875-885,888-900,914-919,921-922,927,929-947]","[161,163,166-234,236]","[521,624,653-654,656,773,789,917]","[173-175,189,192-193,196,207]"
aPKC___Ada2b,2,2,A,B,0.0448,50.9,2.3,0.0108,0.5905,0.0341,0.0587,173.0,15.0,0.2600,45.2,52.1,0.370,59,12,5,4,89.6,73.6,76.4,72.7,958,555,"[706,708,712-719,724,728,732,751,778,787,802-815,833,835,837,840-853,855-856,859,862,865-866,877-879,881-882,884]",[80-91],"[810,842,844-846]","[83-84,87-88]"
aPKC___Ada2b,3,3,A,B,0.0000,0.0,0.0,0.0000,0.3427,0.0000,0.0000,0.0,0.0,0.2100,44.8,51.3,0.360,0,0,0,0,,,,,958,555,,,,
aPKC___Ada2b,4,4,A,B,0.0000,0.0,0.0,0.0000,0.2506,0.0000,0.0000,0.0,0.0,0.1800,42.8,47.3,0.360,0,0,0,0,,,,,958,555,,,,
aPKC___Ada2b,5,1,A,B,0.0000,0.0,0.0,0.0000,0.1927,0.0000,0.0000,0.0,0.0,0.1700,43.5,47.4,0.340,0,0,0,0,,,,,958,555,,,,
aPKC___Ada3,1,4,A,B,0.1156,273.3,31.6,0.2283,0.6963,0.0973,0.1375,5747.0,13.0,0.3100,45.8,41.8,0.410,228,81,6,5,88.7,67.2,85.3,62.1,958,587,"[1,617,621-622,631-636,641-648,665-671,675-682,685,691-698,701,703-708,710-765,772-821,824,826-870,876-901,903]","[283-284,286-287,293-307,422-475,580-587]","[840,848-850,853,882]","[430-433,449]"
aPKC___Ada3,2,2,A,B,0.1816,338.8,61.5,0.2719,0.7134,0.1206,0.2736,4992.0,23.0,0.3100,46.6,43.3,0.390,267,62,6,8,91.4,68.4,80.9,58.6,958,587,"[1,616-624,630-637,639-650,662-672,675-767,772-824,826-872,875-904,915-916,945]","[283-284,287-288,290,292-303,306,440-468,470-472,474,480,482,579-587]","[840,842-845,849]","[302,306,442,444-447,449]"
aPKC___Ada3,3,1,A,B,0.0000,0.0,0.0,0.2059,0.2788,0.4256,0.0000,16.0,0.0,0.1900,44.6,39.3,0.360,1,8,0,0,17.7,24.1,,,958,587,[1],[580-587],,
aPKC___Ada3,4,3,A,B,0.0000,0.0,0.0,0.2499,0.2431,0.4074,0.0000,24.0,0.0,0.1800,45.1,39.3,0.350,1,14,0,0,19.2,35.2,,,958,587,[1],[574-587],,
aPKC___Ada3,5,5,A,B,0.0000,0.0,0.0,0.2940,0.1758,0.5394,0.0000,19.0,0.0,0.1700,45.5,39.2,0.350,1,10,0,0,16.2,28.8,,,958,587,[1],[578-587],,
aPKC___Aef1,1,3,A,B,0.0000,0.0,0.0,0.2193,0.3508,0.4813,0.0000,12.0,0.0,0.2100,44.1,27.6,0.370,1,7,0,0,14.9,18.7,,,958,453,[1],[447-453],,
aPKC___Aef1,2,2,A,B,0.0000,0.0,0.0,0.1936,0.3534,0.4850,0.0000,11.0,0.0,0.1900,44.8,27.6,0.360,1,6,0,0,17.3,19.2,,,958,453,[1],[448-453],,
aPKC___Aef1,3,4,A,B,0.0000,0.0,0.0,0.2247,0.3268,0.5013,0.0000,11.0,0.0,0.1900,42.8,27.7,0.360,1,6,0,0,14.8,17.6,,,958,453,[1],[448-453],,
aPKC___Aef1,4,1,A,B,0.0000,0.0,0.0,0.1757,0.2428,0.4810,0.0000,11.0,0.0,0.1900,43.9,26.6,0.360,1,6,0,0,17.4,17.0,,,958,453,[1],[448-453],,
aPKC___Aef1,5,5,A,B,0.0000,0.0,0.0,0.2043,0.2455,0.4728,0.0000,11.0,0.0,0.1900,44.5,30.1,0.360,1,6,0,0,18.7,16.7,,,958,453,[1],[448-453],,
aPKC___Antp,1,4,A,B,0.1934,1622.8,313.8,0.1315,0.7410,0.1630,0.2294,23514.0,112.0,0.3300,45.6,25.8,0.410,329,82,34,25,88.6,60.5,77.0,50.0,958,378,"[611-818,826-885,887-904,906,908-949]","[5-9,282-358]","[625-627,651,653,656-657,660,703,706-707,710,743,763,773-775,777-780,789,807,811-813,815-816,827-830,832-833]","[8,282-287,289-292,297-301,303,337-339,343,346-347,350-351]"
aPKC___Antp,2,5,A,B,0.1915,1007.8,193.0,0.0213,0.8417,0.1337,0.2744,11039.0,92.0,0.2800,46.5,27.5,0.400,327,70,29,23,91.3,68.4,82.3,51.8,958,378,"[611-672,674-817,823-870,875-885,887-948]","[8,282-317,320,325-356]","[623-626,653-654,703-704,706-707,710,743-744,779-780,807,811-813,816,827-832,915,917-918]","[283-293,297-303,337,339-340,353-354]"
aPKC___Antp,3,3,A,B,0.1248,394.8,49.3,0.0182,0.7520,0.1142,0.1363,3248.0,48.0,0.2600,46.3,25.8,0.400,309,31,22,13,91.0,42.8,84.3,42.0,958,378,"[611-652,659-671,674-767,770-818,826-870,875-885,887-923,925-927,932-934,936-947]","[8-11,63,283-294,296-303,341,344-348]","[624-627,703-704,706-707,710,743-744,761,774,780,807,811-813,816,915,917-918]","[8,283-292,300,347]"
aPKC___Antp,4,2,A,B,0.0000,0.0,0.0,0.0000,0.4442,0.0142,0.0000,7.0,0.0,0.2200,46.6,24.1,0.380,7,2,0,0,97.3,36.9,,,958,378,"[634,641,716,736,851,878,881]",[286-287],,
aPKC___Antp,5,1,A,B,0.0059,4.0,0.0,0.0000,0.4759,0.0079,0.0044,8.0,2.0,0.2200,45.4,23.6,0.380,7,3,2,1,83.3,35.1,65.4,38.5,958,378,"[744,761,803,813,828-829,879]",[300-302],[828-829],[302]
aPKC___Arc42,1,4,A,B,0.1110,134.5,14.9,0.0175,0.6238,0.1213,0.1016,1293.0,14.0,0.5100,43.3,88.4,0.380,6,357,4,9,39.0,93.1,43.5,88.4,958,405,[1-6],"[31-150,153-154,161-166,169-199,201-209,211-291,295-402]",[1-4],"[148,153,177-178,257,383-385,390]"
aPKC___Arc42,2,1,A,B,0.0000,0.0,0.0,0.0000,0.3246,0.0000,0.0000,0.0,0.0,0.3300,44.0,90.4,0.430,0,0,0,0,,,,,958,405,,,,
aPKC___Arc42,3,2,A,B,0.0000,0.0,0.0,0.0000,0.2998,0.0000,0.0000,0.0,0.0,0.2400,43.4,89.9,0.390,0,0,0,0,,,,,958,405,,,,
aPKC___Arc42,4,5,A,B,0.0000,0.0,0.0,0.0000,0.1580,0.0000,0.0000,0.0,0.0,0.2000,45.0,90.1,0.380,0,0,0,0,,,,,958,405,,,,
aPKC___Arc42,5,3,A,B,0.0000,0.0,0.0,0.0000,0.1804,0.0000,0.0000,0.0,0.0,0.1800,42.9,89.4,0.380,0,0,0,0,,,,,958,405,,,,
aPKC___Asciz,1,1,A,B,0.0000,0.0,0.0,0.0000,0.3519,0.0000,0.0000,0.0,0.0,0.2300,42.2,31.7,0.380,0,0,0,0,,,,,958,388,,,,
aPKC___Asciz,2,4,A,B,0.0293,12.4,0.4,0.0127,0.4803,0.0201,0.0427,77.0,2.0,0.2100,41.8,31.9,0.380,61,4,2,1,85.9,32.1,72.8,36.5,958,388,"[634,681,684-685,688,691,693,716,718-719,723,726,729-731,733,736-738,741-744,746-748,755-756,759,761-762,764,771,773-775,778,783,785,788,790-791,794-796,798-799,801,803,805,808-809,832,836-837,862,864,867,878-879,883]",[331-334],"[761,775]",[334]
aPKC___Asciz,3,3,A,B,0.0000,0.0,0.0,0.0000,0.2803,0.0000,0.0000,0.0,0.0,0.2000,44.4,33.2,0.390,0,0,0,0,,,,,958,388,,,,
aPKC___Asciz,4,2,A,B,0.0000,0.0,0.0,0.0000,0.2693,0.0000,0.0000,0.0,0.0,0.1900,43.5,33.8,0.370,0,0,0,0,,,,,958,388,,,,
aPKC___Asciz,5,5,A,B,0.0000,0.0,0.0,0.0000,0.2088,0.0000,0.0000,0.0,0.0,0.1800,43.9,34.0,0.380,0,0,0,0,,,,,958,388,,,,
aPKC___Atac1,1,4,A,B,0.5192,2056.9,1068.0,0.6159,0.9823,0.4097,0.6580,49194.0,86.0,0.4000,44.7,51.3,0.420,349,100,20,21,85.8,69.3,80.0,75.1,958,356,[607-955],[125-224],"[654-657,765,771-776,779,787-789,791,829-830,833,837]","[134,154-157,161,171-173,176-177,180-181,185,196,198-199,201,213,215,217]"
aPKC___Atac1,2,2,A,B,0.3564,2467.7,879.5,0.4070,0.8972,0.2813,0.4516,46841.0,130.0,0.3600,45.6,55.1,0.420,346,105,31,34,88.6,67.0,80.0,67.8,958,356,[608-953],[120-224],"[625-627,651,654-657,703,707,743-744,765,771-777,779,787-789,791,829-830,833,837,935,937]","[120-121,123,131-132,134-135,154-158,161,164-165,171-173,176-177,180-181,185,196-201,213-217]"
aPKC___Atac1,3,1,A,B,0.2855,1907.5,544.7,0.2429,0.8842,0.2034,0.4010,32198.0,113.0,0.3500,43.9,47.7,0.410,328,89,27,28,85.3,66.7,72.9,65.5,958,356,"[610-820,822-885,887-903,913-915,917-949]","[128-203,210-222]","[625-627,651,654-657,765,771-777,779,787-789,791,829-830,833,837,935,937]","[131-132,134-135,154-158,161,171-173,176-177,180-181,185,196-199,201,213-217]"
aPKC___Atac1,4,5,A,B,0.2154,1238.8,266.8,0.1487,0.8221,0.1528,0.3036,24752.0,62.0,0.3200,45.0,48.1,0.400,316,80,20,20,89.0,69.6,72.7,64.2,958,356,"[610-672,674-709,711-815,826-885,887-903,911,913-919,921,923-948]","[131-200,211-220]","[626,654-657,770-776,787-789,791,829-830,833,937]","[132,134,155-157,171-173,176-177,180-181,185,196,198-199,213,215-217]"
aPKC___Atac1,5,3,A,B,0.0744,499.0,37.1,0.0167,0.5852,0.0602,0.0918,4699.0,53.0,0.3100,44.6,48.1,0.400,264,68,23,21,89.3,65.6,73.2,64.4,958,356,"[613-636,640-670,674-678,680-697,699-708,712-768,770-815,829-869,875-884,888-897,932,935-942,944-945,947]","[121-126,128,130-148,150-189,197-198]","[626-627,651,653-656,703,744,773-777,779,787-789,791,829-830,833,837]","[123,131-132,134-135,155-157,160-161,171-173,176-177,179-181,184-185,198]"
aPKC___Atac2,1,4,A,B,0.0000,0.0,0.0,0.0000,0.2604,0.0000,0.0000,0.0,0.0,0.2000,42.1,51.7,0.340,0,0,0,0,,,,,958,774,,,,
aPKC___Atac2,2,2,A,B,0.0000,0.0,0.0,0.0000,0.2558,0.0000,0.0000,0.0,0.0,0.2000,43.6,54.4,0.340,0,0,0,0,,,,,958,774,,,,
aPKC___Atac2,3,1,A,B,0.0000,0.0,0.0,0.0000,0.2294,0.0000,0.0000,0.0,0.0,0.1900,42.1,53.1,0.330,0,0,0,0,,,,,958,774,,,,
aPKC___Atac2,4,3,A,B,0.0000,0.0,0.0,0.0000,0.2667,0.0000,0.0000,0.0,0.0,0.1900,42.8,53.4,0.340,0,0,0,0,,,,,958,774,,,,
aPKC___Atac2,5,5,A,B,0.0000,0.0,0.0,0.0000,0.2153,0.0000,0.0000,0.0,0.0,0.1900,42.9,54.0,0.340,0,0,0,0,,,,,958,774,,,,
aPKC___Atac3,1,4,A,B,0.0000,0.0,0.0,0.0000,0.2978,0.0054,0.0000,4.0,0.0,0.2100,42.8,40.8,0.360,2,3,0,0,91.8,72.2,,,958,583,"[781,800]","[148,152,185]",,
aPKC___Atac3,2,3,A,B,0.0000,0.0,0.0,0.0000,0.3703,0.0000,0.0000,0.0,0.0,0.2100,44.2,41.3,0.360,0,0,0,0,,,,,958,583,,,,
aPKC___Atac3,3,2,A,B,0.0000,0.0,0.0,0.0000,0.3347,0.0000,0.0000,0.0,0.0,0.2000,45.0,44.8,0.360,0,0,0,0,,,,,958,583,,,,
aPKC___Atac3,4,1,A,B,0.0000,0.0,0.0,0.0000,0.2386,0.0000,0.0000,0.0,0.0,0.2000,44.3,39.9,0.360,0,0,0,0,,,,,958,583,,,,
aPKC___Atac3,5,5,A,B,0.0000,0.0,0.0,0.0000,0.3231,0.0000,0.0000,0.0,0.0,0.1900,45.3,41.2,0.370,0,0,0,0,,,,,958,583,,,,
aPKC___Atf-2,1,2,A,B,0.2159,883.6,190.8,0.0532,0.7935,0.1635,0.2851,12799.0,61.0,0.3100,46.8,29.0,0.390,333,47,17,20,91.6,69.5,78.7,63.4,958,381,"[611-871,875-885,887-906,908-948]","[277-322,326]","[625-627,653-654,707,710,744,778-780,812-813,816,821,827,829]","[279-280,283-284,287,290-296,298-299,302-303,305-307,309]"
aPKC___Atf-2,2,3,A,B,0.0000,0.0,0.0,0.0000,0.3767,0.0000,0.0000,0.0,0.0,0.2100,45.8,25.9,0.380,0,0,0,0,,,,,958,381,,,,
aPKC___Atf-2,3,5,A,B,0.0000,0.0,0.0,0.0000,0.2672,0.0000,0.0000,0.0,0.0,0.1900,46.3,25.3,0.390,0,0,0,0,,,,,958,381,,,,
aPKC___Atf-2,4,1,A,B,0.0000,0.0,0.0,0.0000,0.3039,0.0000,0.0000,0.0,0.0,0.1800,45.4,25.2,0.380,0,0,0,0,,,,,958,381,,,,
aPKC___Atf-2,5,4,A,B,0.0000,0.0,0.0,0.0000,0.2449,0.0000,0.0000,0.0,0.0,0.1700,45.9,24.7,0.390,0,0,0,0,,,,,958,381,,,,
aPKC___Atf3,1,5,A,B,0.3439,1141.1,392.4,0.3480,0.8601,0.2582,0.4580,26042.0,50.0,0.3700,45.7,23.9,0.370,344,73,12,18,89.1,67.6,72.7,67.5,958,687,"[1,610-952]","[198-258,260-261,289-292,682-687]","[626,653-654,707-708,710,779-780,821,827-829]","[204,207-208,214-216,218-220,223-224,227,229-231,233-234,237]"
aPKC___Atf3,2,3,A,B,0.1525,147.9,22.6,0.2650,0.7004,0.1276,0.1823,729.0,30.0,0.3200,45.4,22.6,0.360,197,13,10,5,91.7,36.1,91.3,49.2,958,687,"[1,631-632,634,641-645,647,668,670,675,677-678,681-683,685,692-695,697-698,700-750,752-758,760-765,772-773,775-816,830-870,876-885,888-896,898,900-902]","[594-600,682-687]","[840-845,852,855-856,859]",[595-599]
aPKC___Atf3,3,2,A,B,0.3924,46.1,18.1,0.2562,0.9177,0.2612,0.5894,266.0,8.0,0.2400,46.3,22.4,0.350,114,20,3,5,92.4,41.4,56.6,31.8,958,687,"[1,617,619-622,626-635,641-644,646-652,663-670,678,681-682,684-686,688-695,697,704,717,720,725,727,729,731-732,734,736-740,744,746,760-763,772-773,775-776,778-783,786-788,791-792,795-797,800-804,806,808,814,816,830-838,852,856,860,867-868,879,882,890]","[214-216,218-228,682-687]","[1,626,779]","[218-219,685-687]"
aPKC___Atf3,4,1,A,B,0.0000,0.0,0.0,0.1922,0.4663,0.2903,0.0000,28.0,0.0,0.2300,44.6,22.8,0.350,15,10,0,0,83.1,27.4,,,958,687,"[1,744,761-762,774,780,783,786,788,792,796,801,834,836,838]","[215-216,218-219,682-687]",,
aPKC___Atf3,5,4,A,B,0.0000,0.0,0.0,0.2940,0.4929,0.3992,0.0000,16.0,0.0,0.2200,44.6,21.8,0.350,5,6,0,0,76.0,28.7,,,958,687,"[1,723,756,834,837]",[682-687],,
aPKC___Atf6,1,2,A,B,0.3153,1130.7,356.5,0.2300,0.8726,0.2343,0.4244,18801.0,68.0,0.3600,46.3,27.4,0.350,338,48,19,21,90.4,67.5,77.8,66.0,958,741,"[610-871,875-885,887-951]",[278-325],"[625-627,653-654,656-657,707,710,744,778-780,812-813,816,820,827,829]","[282-283,286-287,289-290,293-299,301-302,305-306,308-310,312]"
aPKC___Atf6,2,5,A,B,0.1360,647.6,88.1,0.0144,0.7389,0.1083,0.1709,8922.0,47.0,0.3300,45.4,26.8,0.350,320,37,14,15,89.7,60.4,76.2,60.6,958,741,"[612-672,674-767,769-870,875-885,887-903,910-923,925-927,930-947]",[280-316],"[625-626,651,653-654,707,710,778-780,812,821,827,829]","[282-283,286-287,290,293-295,297-298,302,306,308-309,312]"
aPKC___Atf6,3,3,A,B,0.0192,18.3,0.4,0.0000,0.5712,0.0137,0.0269,84.0,4.0,0.2900,45.5,25.4,0.360,50,14,3,2,91.1,52.9,79.1,53.2,958,741,"[616,621,631-633,641-642,644,646-647,651,669,684-686,691-693,714,717,724,745,756-757,761,771,775-779,783,787,792,800,805,807-809,813,829,831-833,835-837,879,881,883]","[290,293-304,306]","[778-779,829]","[298,301]"
aPKC___Atf6,4,4,A,B,0.0416,28.4,1.2,0.0000,0.5364,0.0388,0.0446,161.0,5.0,0.2700,43.9,23.6,0.340,87,15,3,2,90.6,50.0,77.2,50.4,958,741,"[616,633,641,647,667-668,678,680,691,716,718-719,726,729-734,736-737,739,743,745-746,748,759,761-762,771-775,777-780,782-788,790-792,795-800,802,806-808,814-815,829-830,832-838,847,850-852,854-856,858-860,864,866-867,879,881,883,889,892]",[289-303],"[778-779,829]","[295,298]"
aPKC___Atf6,5,1,A,B,0.0000,0.0,0.0,0.0000,0.4856,0.0079,0.0000,2.0,0.0,0.2500,44.4,26.7,0.340,1,2,0,0,85.9,47.1,,,958,741,[761],[297-298],,
aPKC___Awh,1,5,A,B,0.4232,1761.7,745.6,0.6127,0.9567,0.3698,0.4845,37850.0,82.0,0.3900,45.7,52.5,0.420,354,78,22,20,87.3,67.6,75.5,65.3,958,286,"[1,7,488,490,607-956]","[15,21,23,106,142-209,281-286]","[7,653-657,706-707,710,774-775,779,787,789,811-812,827-830,832-833]","[106,143-144,148,150-153,188-191,193-194,197,200-202,204-205]"
aPKC___Awh,2,1,A,B,0.3569,1477.6,527.4,0.4767,0.9523,0.2660,0.4789,32585.0,67.0,0.3700,45.0,51.5,0.410,346,71,21,18,86.7,67.9,77.8,66.1,958,286,"[1,609-953]","[144-208,281-286]","[625-627,653-654,656,703,707,743-744,772-776,778-779,789,829-830,833]","[146-147,149-152,154,157,160,188,190,194,197-198,200-202,204]"
aPKC___Awh,3,2,A,B,0.1341,1031.7,138.3,0.2417,0.6662,0.1198,0.1501,16632.0,64.0,0.3100,45.8,51.4,0.410,325,70,25,19,89.7,62.1,79.4,56.5,958,286,"[1,612-673,675-819,825-871,876-886,888-905,909-949]","[144-207,281-286]","[625-627,654-656,703,706-707,743-744,774-775,778-780,807,811-813,816,828-830,833]","[145-147,149-150,152-154,188-191,194,197-198,201-202,205-206]"
aPKC___Awh,4,3,A,B,0.0935,129.0,12.1,0.2562,0.5859,0.0943,0.0926,273.0,61.0,0.2800,45.4,47.9,0.380,13,55,9,21,28.7,59.3,30.5,64.1,958,286,"[1,3-14]","[69,71-97,99,101-113,116-120,122,280-286]",[3-11],"[76,78,80-85,89-90,92,95,106-112,117,120]"
aPKC___Awh,5,4,A,B,0.0000,0.0,0.0,0.2358,0.3955,0.4872,0.0000,11.0,0.0,0.2500,43.1,45.6,0.390,1,6,0,0,14.2,17.2,,,958,286,[1],[281-286],,
aPKC___B-H1,1,5,A,B,0.5405,1694.4,915.9,0.7559,0.9816,0.5028,0.5811,41611.0,69.0,0.4400,46.7,25.2,0.390,351,74,20,16,89.7,77.2,84.9,70.6,958,544,[606-956],"[295-367,543]","[624,703,706-707,710,744,775,807,811-813,816,818,824-825,827-830,917]","[297-303,305,340-341,344-345,348-349,352,356]"
aPKC___B-H1,2,1,A,B,0.0459,150.4,6.9,0.0131,0.5701,0.0461,0.0456,2513.0,9.0,0.2800,45.2,21.7,0.370,274,33,6,7,90.4,66.6,73.9,60.9,958,544,"[613-636,638-651,658-671,674-703,705-708,712-766,770-815,828-845,847-868,875-884,888-899,901-902,913-922,926,932-933,936-942,944-945,947]","[302-304,306-308,310-316,318,322,324,339,342-356,358]","[626,744,777,779,829,917]","[303-304,348-352]"
aPKC___B-H1,3,2,A,B,0.0000,0.0,0.0,0.0000,0.4320,0.0093,0.0000,20.0,0.0,0.2500,46.7,23.7,0.370,18,5,0,0,96.1,68.7,,,958,544,"[630,632,634,641,718,731,755,799,802,805,809,833,835-837,854-855,859]","[347-350,354]",,
aPKC___B-H1,4,4,A,B,0.0000,0.0,0.0,0.0000,0.3726,0.0000,0.0000,0.0,0.0,0.2300,44.9,21.0,0.360,0,0,0,0,,,,,958,544,,,,
aPKC___B-H1,5,3,A,B,0.0000,0.0,0.0,0.0000,0.3648,0.0000,0.0000,0.0,0.0,0.2000,46.2,22.4,0.370,0,0,0,0,,,,,958,544,,,,
aPKC___B-H2,1,5,A,B,0.4340,1715.8,744.7,0.5374,0.9368,0.3698,0.5094,38737.0,76.0,0.4100,46.0,25.0,0.370,349,68,24,20,89.0,75.0,82.0,68.9,958,645,[607-955],[379-446],"[624-626,648,650-651,703,706-708,710,744,775,778-780,811-813,827,829-830,917,926]","[381,384,403-404,406-408,425,428-430,433-434,436-437,439-441,443-444]"
aPKC___B-H2,2,1,A,B,0.3555,1665.3,592.0,0.4357,0.9081,0.2899,0.4360,36014.0,77.0,0.3800,45.7,23.8,0.370,345,65,25,18,88.3,74.7,80.2,65.9,958,645,[608-952],[381-445],"[624-626,648,651,703,706-708,710,742,744,775,778-780,789,811-813,816,829-830,917,926]","[381,384,403-404,406-407,425,428-430,433,436-437,439-441,443-444]"
aPKC___B-H2,3,4,A,B,0.0000,0.0,0.0,0.0000,0.3410,0.0000,0.0000,0.0,0.0,0.2200,43.9,20.3,0.350,0,0,0,0,,,,,958,645,,,,
aPKC___B-H2,4,3,A,B,0.0000,0.0,0.0,0.0000,0.4335,0.0000,0.0000,0.0,0.0,0.2100,46.0,23.6,0.360,0,0,0,0,,,,,958,645,,,,
aPKC___B-H2,5,2,A,B,0.0000,0.0,0.0,0.0000,0.4580,0.0000,0.0000,0.0,0.0,0.1900,46.3,22.6,0.350,0,0,0,0,,,,,958,645,,,,
aPKC___BEAF-32,1,5,A,B,0.1389,351.0,48.7,0.0193,0.6542,0.1056,0.1826,1735.0,71.0,0.3100,46.8,38.9,0.430,332,40,22,16,88.6,52.7,71.0,43.8,958,283,"[485-504,511,513,515-524,526-536,538-539,541-542,611-652,656-671,674-708,711-815,829-870,875-884,888-903,914,931-948]","[137-147,238-252,255-256,258-266,268,270-271]","[487-495,499,501,519-522,524,529,626-627,651,657,775]","[137-143,145-146,239,242-243,246-247,249-250]"
